City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Saint Anthony,US,2021-10-14 18:02:14,45.0205,-93.218,52.25,71,90,12.66
246,Karaton,ID,2021-10-14 18:02:15,-6.3424,106.1045,78.96,89,97,1.99
247,Denpasar,ID,2021-10-14 17:59:29,-8.65,115.2167,78.46,88,20,2.3
248,Lusaka,ZM,2021-10-14 18:02:16,-15.4067,28.2871,76.98,20,24,9.57
249,Chartres,FR,2021-10-14 18:02:16,48.4167,1.5,55.11,58,4,4.34
250,Laguna,US,2021-10-14 18:02:16,38.421,-121.4238,71.29,37,1,5.01
251,Kavieng,PG,2021-10-14 18:02:17,-2.5744,150.7967,82.33,78,48,8.66
252,Evensk,RU,2021-10-14 18:02:17,61.95,159.2333,21.15,66,78,9.82
253,Clearwater,US,2021-10-14 17:59:33,27.9659,-82.8001,91.15,63,40,4.0
254,Puerto Leguizamo,CO,2021-10-14 18:02:18,-0.1934,-74.7819,94.17,43,32,2.66
255,Henties Bay,NA,2021-10-14 18:02:18,-22.116,14.2845,60.85,90,4,12.77
256,Flinders,AU,2021-10-14 18:02:18,-34.5833,150.8552,60.21,84,23,10.56
257,Canon City,US,2021-10-14 18:02:19,38.441,-105.2424,57.15,46,1,4.0
258,Senador Guiomard,BR,2021-10-14 18:02:19,-10.1522,-67.7392,92.95,25,22,8.08
259,Wanning,CN,2021-10-14 18:02:20,18.8003,110.3967,78.12,90,66,5.06
260,Oranjemund,NA,2021-10-14 18:02:20,-28.55,16.4333,59.41,82,8,4.45
261,Candido De Abreu,BR,2021-10-14 18:02:20,-24.5669,-51.3333,71.83,77,100,6.4
262,Lola,GN,2021-10-14 18:02:21,7.8,-8.5333,75.15,88,64,2.13
263,Kupang,ID,2021-10-14 18:02:21,-10.1667,123.5833,78.84,79,100,5.19
264,Svetlogorsk,BY,2021-10-14 18:02:21,52.6333,29.7333,40.66,85,36,7.0
265,Sitka,US,2021-10-14 18:02:22,57.0531,-135.33,43.18,94,99,8.03
266,Touros,BR,2021-10-14 18:02:22,-5.1989,-35.4608,84.11,66,11,16.4
267,Hobyo,SO,2021-10-14 18:02:23,5.3505,48.5268,78.69,82,37,20.89
268,Lukovetskiy,RU,2021-10-14 18:02:23,64.2956,41.9211,42.78,94,96,4.5
269,Oktyabrskoye,RU,2021-10-14 18:02:23,43.0645,44.7417,50.14,100,26,4.47
270,Terrace,CA,2021-10-14 18:02:24,54.5163,-128.6035,44.42,100,100,1.1
271,San Vicente,AR,2021-10-14 18:02:25,-26.6167,-54.1333,84.15,45,67,7.43
272,Port Lincoln,AU,2021-10-14 18:02:25,-34.7333,135.8667,55.51,79,36,24.63
273,Hihya,EG,2021-10-14 18:02:26,30.6713,31.588,80.55,68,1,10.67
274,Rapid City,US,2021-10-14 18:00:30,44.0805,-103.231,48.15,45,20,1.99
275,Mizan Teferi,ET,2021-10-14 18:02:26,6.9833,35.5833,61.12,96,59,2.28
276,Mecca,SA,2021-10-14 18:01:44,21.4267,39.8261,85.35,44,0,1.57
277,Santana Do Livramento,BR,2021-10-14 18:02:27,-30.8908,-55.5328,76.6,61,73,5.48
278,Karratha,AU,2021-10-14 18:02:27,-20.7377,116.8463,73.92,67,0,7.14
279,Kaeo,NZ,2021-10-14 18:02:28,-35.1,173.7833,44.33,93,0,4.07
280,Port Hawkesbury,CA,2021-10-14 17:58:56,45.6169,-61.3485,60.1,93,90,3.0
281,Timizart,DZ,2021-10-14 18:02:28,36.8,4.2667,59.07,62,46,3.29
282,Yerbogachen,RU,2021-10-14 18:02:29,61.2767,108.0108,18.43,57,28,6.13
283,Salinas,US,2021-10-14 17:57:40,36.6777,-121.6555,73.18,37,0,4.74
284,Rocha,UY,2021-10-14 18:02:29,-34.4833,-54.3333,66.04,85,64,8.03
285,Santo Antonio De Padua,BR,2021-10-14 18:02:30,-21.5394,-42.1803,85.98,54,72,2.68
286,Padang,ID,2021-10-14 18:02:30,-0.9492,100.3543,77.95,82,100,3.11
287,Coruripe,BR,2021-10-14 18:02:30,-10.1256,-36.1756,83.55,66,2,14.63
288,Trairi,BR,2021-10-14 18:02:08,-3.2778,-39.2689,86.25,62,27,16.42
289,Comodoro Rivadavia,AR,2021-10-14 18:00:55,-45.8667,-67.5,53.15,23,70,23.15
290,Chimoio,MZ,2021-10-14 18:02:31,-19.1164,33.4833,75.52,56,20,8.61
291,Bandiagara,ML,2021-10-14 18:02:31,14.3501,-3.6104,92.34,9,46,4.92
292,Tasiilaq,GL,2021-10-14 18:02:32,65.6145,-37.6368,33.96,65,100,12.77
293,Iqaluit,CA,2021-10-14 18:02:32,63.7506,-68.5145,32.7,64,9,15.99
